Key,Year,Competition,Squad,O. CrdY,O. CrdR,O. Fld,O. Int,O. TklW
2021-Big Five Euro-Wolves,2021,Big Five Euro,Wolves,1.63,0.16,12.6,9.87,9.76
2020-Big Five Euro-Alavés,2020,Big Five Euro,Alavés,2.29,0.08,16.9,5.63,9.29
2020-Big Five Euro-Amiens,2020,Big Five Euro,Amiens,1.54,0.04,14.4,8.11,13
2020-Big Five Euro-Angers,2020,Big Five Euro,Angers,1.68,0,11.6,9.11,11.5
2020-Big Five Euro-Arsenal,2020,Big Five Euro,Arsenal,2.08,0.03,12.8,7,10.5
2020-Big Five Euro-Aston Villa,2020,Big Five Euro,Aston Villa,2.37,0.18,13.3,5.87,9.24
2020-Big Five Euro-Atalanta,2020,Big Five Euro,Atalanta,2.79,0.18,14.7,7.34,11.6
2020-Big Five Euro-Athletic Club,2020,Big Five Euro,Athletic Club,2.34,0,15,5.76,9.5
2020-Big Five Euro-Atlético Madrid,2020,Big Five Euro,Atlético Madrid,2.97,0.11,14.5,6.05,9.95
2020-Big Five Euro-Augsburg,2020,Big Five Euro,Augsburg,1.88,0.09,11.6,6.59,10.8
2020-Big Five Euro-Barcelona,2020,Big Five Euro,Barcelona,2.34,0.11,11.6,11.3,10.6
2020-Big Five Euro-Bayern Munich,2020,Big Five Euro,Bayern Munich,1.68,0.09,9.5,10.7,12.1
2020-Big Five Euro-Betis,2020,Big Five Euro,Betis,2.92,0.13,13.3,6.05,10
2020-Big Five Euro-Bologna,2020,Big Five Euro,Bologna,2.74,0.18,16.7,7.45,12
2020-Big Five Euro-Bordeaux,2020,Big Five Euro,Bordeaux,2.32,0.29,13.6,8.29,12.9
2020-Big Five Euro-Bournemouth,2020,Big Five Euro,Bournemouth,1.76,0.08,11,6.71,10.8
2020-Big Five Euro-Brescia,2020,Big Five Euro,Brescia,2.79,0.05,13.3,7.18,9.68
2020-Big Five Euro-Brest,2020,Big Five Euro,Brest,1.43,0.04,11.9,8.39,11.4
2020-Big Five Euro-Brighton,2020,Big Five Euro,Brighton,1.61,0.03,12,8.32,11.5
2020-Big Five Euro-Burnley,2020,Big Five Euro,Burnley,1.11,0.08,13,4.89,8.76
2020-Big Five Euro-Cagliari,2020,Big Five Euro,Cagliari,2,0.16,14.4,6.18,9.82
2020-Big Five Euro-Celta Vigo,2020,Big Five Euro,Celta Vigo,3.13,0.13,13.5,6.53,10.7
2020-Big Five Euro-Chelsea,2020,Big Five Euro,Chelsea,2,0.08,11.2,7.37,11.3
2020-Big Five Euro-Crystal Palace,2020,Big Five Euro,Crystal Palace,2.32,0.13,12.7,7.5,12.1
2020-Big Five Euro-Dijon,2020,Big Five Euro,Dijon,1.57,0.11,13.2,8.39,14.9
2020-Big Five Euro-Dortmund,2020,Big Five Euro,Dortmund,1.56,0.03,9.53,11.1,13.4
2020-Big Five Euro-Düsseldorf,2020,Big Five Euro,Düsseldorf,1.88,0.15,12.8,7.09,9.91
2020-Big Five Euro-Eibar,2020,Big Five Euro,Eibar,1.84,0.05,13.9,4.63,9.21
2020-Big Five Euro-Eint Frankfurt,2020,Big Five Euro,Eint Frankfurt,1.97,0.18,13.1,7.82,10.4
2020-Big Five Euro-Espanyol,2020,Big Five Euro,Espanyol,1.97,0.16,16.4,5.45,9.21
2020-Big Five Euro-Everton,2020,Big Five Euro,Everton,1.61,0.05,13.6,7.03,11.2
2020-Big Five Euro-Fiorentina,2020,Big Five Euro,Fiorentina,2.5,0.08,15.7,6.39,11.5
2020-Big Five Euro-Freiburg,2020,Big Five Euro,Freiburg,2.18,0.18,10.6,6.68,10.5
2020-Big Five Euro-Genoa,2020,Big Five Euro,Genoa,2.53,0.21,15.7,6.18,10.7
2020-Big Five Euro-Getafe,2020,Big Five Euro,Getafe,3.21,0.29,18.8,5.53,8.89
2020-Big Five Euro-Granada,2020,Big Five Euro,Granada,3.05,0.18,16.8,5.29,8.79
2020-Big Five Euro-Hellas Verona,2020,Big Five Euro,Hellas Verona,2.76,0.21,15.2,6.89,8.87
2020-Big Five Euro-Hertha BSC,2020,Big Five Euro,Hertha BSC,1.62,0.09,14.5,6.26,10.4
2020-Big Five Euro-Hoffenheim,2020,Big Five Euro,Hoffenheim,2.35,0.15,11.8,6.59,11.3
2020-Big Five Euro-Inter,2020,Big Five Euro,Inter,2.37,0.11,15.2,8,8.95
2020-Big Five Euro-Juventus,2020,Big Five Euro,Juventus,2.97,0.21,13.5,7.13,9.66
2020-Big Five Euro-Köln,2020,Big Five Euro,Köln,1.85,0.12,15.9,7.44,9.18
2020-Big Five Euro-Lazio,2020,Big Five Euro,Lazio,2.53,0.18,12.9,7.82,9.68
2020-Big Five Euro-Lecce,2020,Big Five Euro,Lecce,2.26,0.13,13,6.66,8.76
2020-Big Five Euro-Leganés,2020,Big Five Euro,Leganés,2.76,0.13,16.4,5.55,10.4
2020-Big Five Euro-Leicester City,2020,Big Five Euro,Leicester City,1.82,0.08,12.2,7.74,11.2
2020-Big Five Euro-Levante,2020,Big Five Euro,Levante,2.53,0.03,13.3,5.05,10
2020-Big Five Euro-Leverkusen,2020,Big Five Euro,Leverkusen,1.88,0.03,11.8,10.5,13
2020-Big Five Euro-Lille,2020,Big Five Euro,Lille,2.04,0.07,13.5,7.21,12.6
2020-Big Five Euro-Liverpool,2020,Big Five Euro,Liverpool,1.24,0,9.24,8.34,11.1
2020-Big Five Euro-Lyon,2020,Big Five Euro,Lyon,1.96,0.25,12.2,8.18,13.3
2020-Big Five Euro-M'Gladbach,2020,Big Five Euro,M'Gladbach,2.53,0.09,12.6,9.41,12.1
2020-Big Five Euro-Mainz 05,2020,Big Five Euro,Mainz 05,2.18,0.12,14.1,6.74,11.2
2020-Big Five Euro-Mallorca,2020,Big Five Euro,Mallorca,3.11,0.11,13.9,6.26,11.5
2020-Big Five Euro-Manchester City,2020,Big Five Euro,Manchester City,1.39,0.03,10.2,9.37,10.8
2020-Big Five Euro-Manchester Utd,2020,Big Five Euro,Manchester Utd,2.08,0.05,12.2,9.34,12.2
2020-Big Five Euro-Marseille,2020,Big Five Euro,Marseille,1.86,0.07,13.4,7.96,11.3
2020-Big Five Euro-Metz,2020,Big Five Euro,Metz,1.32,0.11,12.5,7.54,13
2020-Big Five Euro-Milan,2020,Big Five Euro,Milan,2.47,0.21,15,8.24,11.1
2020-Big Five Euro-Monaco,2020,Big Five Euro,Monaco,1.64,0,12.5,8.71,11.6
2020-Big Five Euro-Montpellier,2020,Big Five Euro,Montpellier,2.46,0.25,15.1,8.32,11
2020-Big Five Euro-Nantes,2020,Big Five Euro,Nantes,2.04,0.11,13.4,9.18,12.6
2020-Big Five Euro-Napoli,2020,Big Five Euro,Napoli,2.76,0.05,11.6,7.74,8.95
2020-Big Five Euro-Newcastle Utd,2020,Big Five Euro,Newcastle Utd,1.5,0.05,11.2,6.24,10.1
2020-Big Five Euro-Nice,2020,Big Five Euro,Nice,2.21,0.32,10.9,8.82,14.2
2020-Big Five Euro-Nîmes,2020,Big Five Euro,Nîmes,2.86,0.32,12.5,6.14,12.1
2020-Big Five Euro-Norwich City,2020,Big Five Euro,Norwich City,1.53,0.05,11.3,7.45,11.7
2020-Big Five Euro-Osasuna,2020,Big Five Euro,Osasuna,2.18,0.11,15.3,6.24,10.1
2020-Big Five Euro-Paderborn 07,2020,Big Five Euro,Paderborn 07,1.94,0.03,13.5,8.15,13
2020-Big Five Euro-Paris S-G,2020,Big Five Euro,Paris S-G,1.7,0.22,12.9,10.5,13.7
2020-Big Five Euro-Parma,2020,Big Five Euro,Parma,2.34,0.08,14.6,7.53,10.4
2020-Big Five Euro-RB Leipzig,2020,Big Five Euro,RB Leipzig,2.18,0.03,11.4,9.94,11.1
2020-Big Five Euro-Real Madrid,2020,Big Five Euro,Real Madrid,2.29,0.03,13.6,8.03,10.4
2020-Big Five Euro-Real Sociedad,2020,Big Five Euro,Real Sociedad,2.66,0.18,13.3,7.55,9.82
2020-Big Five Euro-Reims,2020,Big Five Euro,Reims,1.25,0.07,14,9.32,10.8
2020-Big Five Euro-Rennes,2020,Big Five Euro,Rennes,2.61,0.07,14.1,8.04,12.5
2020-Big Five Euro-Roma,2020,Big Five Euro,Roma,2.42,0.03,15.2,6.58,9.37
2020-Big Five Euro-Saint-Étienne,2020,Big Five Euro,Saint-Étienne,1.79,0.07,13.3,8.93,12.9
2020-Big Five Euro-Sampdoria,2020,Big Five Euro,Sampdoria,2.26,0.21,15.8,6.58,9.34
2020-Big Five Euro-Sassuolo,2020,Big Five Euro,Sassuolo,3.11,0.11,13.7,8.53,11.9
2020-Big Five Euro-Schalke 04,2020,Big Five Euro,Schalke 04,2.18,0,11.9,7.35,13.4
2020-Big Five Euro-Sevilla,2020,Big Five Euro,Sevilla,2.63,0.13,14.5,7,10.6
2020-Big Five Euro-Sheffield Utd,2020,Big Five Euro,Sheffield Utd,1.21,0,12.5,5.63,8.18
2020-Big Five Euro-Southampton,2020,Big Five Euro,Southampton,1.76,0.08,13.4,6.76,11.2
2020-Big Five Euro-SPAL,2020,Big Five Euro,SPAL,1.97,0.03,15.2,4.58,10.4
2020-Big Five Euro-Strasbourg,2020,Big Five Euro,Strasbourg,2.07,0.11,13.8,7.26,10.4
2020-Big Five Euro-Torino,2020,Big Five Euro,Torino,2.89,0.05,17.1,6.45,12.1
2020-Big Five Euro-Tottenham,2020,Big Five Euro,Tottenham,2.18,0.03,12.7,8.53,12.3
2020-Big Five Euro-Toulouse,2020,Big Five Euro,Toulouse,1.18,0,14.1,8.5,10.9
2020-Big Five Euro-Udinese,2020,Big Five Euro,Udinese,2.11,0.13,14.1,6.16,9.84
2020-Big Five Euro-Union Berlin,2020,Big Five Euro,Union Berlin,1.68,0.03,16.2,6.74,8.97
2020-Big Five Euro-Valencia,2020,Big Five Euro,Valencia,2.37,0.11,11.9,6.58,8.92
2020-Big Five Euro-Valladolid,2020,Big Five Euro,Valladolid,2.5,0.11,13.9,5.37,9.82
2020-Big Five Euro-Villarreal,2020,Big Five Euro,Villarreal,2.21,0.13,13.5,6.76,9.53
2020-Big Five Euro-Watford,2020,Big Five Euro,Watford,1.74,0.03,14.8,6.68,10.4
2020-Big Five Euro-Werder Bremen,2020,Big Five Euro,Werder Bremen,2.35,0.18,14.2,7.32,11
2020-Big Five Euro-West Ham,2020,Big Five Euro,West Ham,1.18,0,11.7,6.71,10.2
2020-Big Five Euro-Wolfsburg,2020,Big Five Euro,Wolfsburg,2.03,0.06,14.5,8.38,12
2020-Big Five Euro-Wolves,2020,Big Five Euro,Wolves,2.24,0.13,11.7,6.97,11.3
2019-Big Five Euro-Alavés,2019,Big Five Euro,Alavés,2.21,0.11,17.3,11.3,9.39
2019-Big Five Euro-Amiens,2019,Big Five Euro,Amiens,1.45,0.05,13.2,10.4,10.3
2019-Big Five Euro-Angers,2019,Big Five Euro,Angers,2.18,0.18,12.4,11.6,9.76
2019-Big Five Euro-Arsenal,2019,Big Five Euro,Arsenal,1.37,0.11,11.6,20.2,10.2
2019-Big Five Euro-Atalanta,2019,Big Five Euro,Atalanta,2.13,0.13,13,10.5,12.7
2019-Big Five Euro-Athletic Club,2019,Big Five Euro,Athletic Club,2.79,0.21,15.3,11.3,9.47
2019-Big Five Euro-Atlético Madrid,2019,Big Five Euro,Atlético Madrid,2.58,0,15.4,12.3,11.2
2019-Big Five Euro-Augsburg,2019,Big Five Euro,Augsburg,1.5,0.06,15.4,7.38,8.97
2019-Big Five Euro-Barcelona,2019,Big Five Euro,Barcelona,2.61,0.11,11.2,16,12.4
2019-Big Five Euro-Bayern Munich,2019,Big Five Euro,Bayern Munich,1.44,0.06,11.2,9.12,10
2019-Big Five Euro-Benevento,2019,Big Five Euro,Benevento,1.79,0.05,13.3,7,11.1
2019-Big Five Euro-Betis,2019,Big Five Euro,Betis,2.53,0.11,13.2,12.8,10.6
2019-Big Five Euro-Bologna,2019,Big Five Euro,Bologna,1.76,0.08,13.1,7.26,10.4
2019-Big Five Euro-Bordeaux,2019,Big Five Euro,Bordeaux,1.92,0.08,13.6,11.2,10.3
2019-Big Five Euro-Bournemouth,2019,Big Five Euro,Bournemouth,1.92,0.03,9.89,15.8,12.7
2019-Big Five Euro-Brighton,2019,Big Five Euro,Brighton,0.79,0.05,13,13.3,9.05
2019-Big Five Euro-Burnley,2019,Big Five Euro,Burnley,1.18,0.16,10.6,10.5,8.84
2019-Big Five Euro-Caen,2019,Big Five Euro,Caen,1.92,0.05,13.7,11.6,8.18
2019-Big Five Euro-Cagliari,2019,Big Five Euro,Cagliari,1.89,0.08,16.7,6.84,9.03
2019-Big Five Euro-Celta Vigo,2019,Big Five Euro,Celta Vigo,2.55,0.03,12.1,11.6,9.92
2019-Big Five Euro-Chelsea,2019,Big Five Euro,Chelsea,1.97,0.03,10.3,17.1,11.9
2019-Big Five Euro-Chievo,2019,Big Five Euro,Chievo,1.5,0.16,13.1,6.92,10.4
2019-Big Five Euro-Crotone,2019,Big Five Euro,Crotone,2,0.05,14.1,6.61,10.2
2019-Big Five Euro-Crystal Palace,2019,Big Five Euro,Crystal Palace,1.89,0.08,12.9,13.3,11.8
2019-Big Five Euro-Dijon,2019,Big Five Euro,Dijon,1.55,0.08,13.1,10.2,10.1
2019-Big Five Euro-Dortmund,2019,Big Five Euro,Dortmund,1.68,0.09,12.3,7.91,11.5
2019-Big Five Euro-Eibar,2019,Big Five Euro,Eibar,2.05,0.16,13.8,13.1,10.1
2019-Big Five Euro-Eint Frankfurt,2019,Big Five Euro,Eint Frankfurt,1.53,0.03,15.9,8.18,11.3
2019-Big Five Euro-Espanyol,2019,Big Five Euro,Espanyol,2.97,0.08,15.1,11.9,9.11
2019-Big Five Euro-Everton,2019,Big Five Euro,Everton,1.29,0.13,13.7,12.7,10.3
2019-Big Five Euro-Fiorentina,2019,Big Five Euro,Fiorentina,2.58,0.21,15.1,7.45,11.9
2019-Big Five Euro-Freiburg,2019,Big Five Euro,Freiburg,1.53,0,13.9,6.41,10.4
2019-Big Five Euro-Genoa,2019,Big Five Euro,Genoa,1.89,0.16,15.6,7.97,9.71
2019-Big Five Euro-Getafe,2019,Big Five Euro,Getafe,2.82,0.08,20.1,12,10.3
2019-Big Five Euro-Girona,2019,Big Five Euro,Girona,2.95,0.08,18,10.4,10.2
2019-Big Five Euro-Guingamp,2019,Big Five Euro,Guingamp,2,0.16,13.4,11.1,9.16
2019-Big Five Euro-Hamburger SV,2019,Big Five Euro,Hamburger SV,1.76,0.09,15,8.41,11.4
2019-Big Five Euro-Hannover 96,2019,Big Five Euro,Hannover 96,1.94,0.06,15.2,7.62,11
2019-Big Five Euro-Hellas Verona,2019,Big Five Euro,Hellas Verona,1.74,0.11,14.3,7,11.4
2019-Big Five Euro-Hertha BSC,2019,Big Five Euro,Hertha BSC,1.65,0.09,14.8,7.47,9.94
2019-Big Five Euro-Hoffenheim,2019,Big Five Euro,Hoffenheim,1.26,0.06,15.7,8.74,11.6
2019-Big Five Euro-Huddersfield,2019,Big Five Euro,Huddersfield,1.47,0.11,11.9,14.4,11.9
2019-Big Five Euro-Inter,2019,Big Five Euro,Inter,2.05,0.24,12.4,9.11,10.1
2019-Big Five Euro-Juventus,2019,Big Five Euro,Juventus,2.32,0.18,11.6,7.29,10.7
2019-Big Five Euro-Köln,2019,Big Five Euro,Köln,1.71,0.12,15.1,8.06,9.97
2019-Big Five Euro-La Coruña,2019,Big Five Euro,La Coruña,1.97,0.05,15,11.4,9.66
2019-Big Five Euro-Las Palmas,2019,Big Five Euro,Las Palmas,2.71,0.18,14,13.5,11.5
2019-Big Five Euro-Lazio,2019,Big Five Euro,Lazio,1.84,0.08,11.8,8.87,11.8
2019-Big Five Euro-Leganés,2019,Big Five Euro,Leganés,2.16,0.11,17.2,10.7,11.6
2019-Big Five Euro-Leicester City,2019,Big Five Euro,Leicester City,1.37,0.03,11.4,14.9,11.3
2019-Big Five Euro-Levante,2019,Big Five Euro,Levante,2.45,0.16,16,10.8,11.5
2019-Big Five Euro-Leverkusen,2019,Big Five Euro,Leverkusen,2.32,0.03,13.9,10,12.1
2019-Big Five Euro-Lille,2019,Big Five Euro,Lille,1.87,0.05,12.7,12.4,11.9
2019-Big Five Euro-Liverpool,2019,Big Five Euro,Liverpool,1.32,0,9.5,17.1,11.9
2019-Big Five Euro-Lyon,2019,Big Five Euro,Lyon,1.97,0.18,12.2,11.6,11.7
2019-Big Five Euro-M'Gladbach,2019,Big Five Euro,M'Gladbach,1.56,0.09,12.5,7.68,11.6
2019-Big Five Euro-Mainz 05,2019,Big Five Euro,Mainz 05,2.15,0.09,15.9,9.03,12.7
2019-Big Five Euro-Málaga,2019,Big Five Euro,Málaga,2,0,17.7,11.1,10.7
2019-Big Five Euro-Manchester City,2019,Big Five Euro,Manchester City,2.03,0.08,9.82,19.1,11.4
2019-Big Five Euro-Manchester Utd,2019,Big Five Euro,Manchester Utd,1.82,0.03,12.2,15.1,12
2019-Big Five Euro-Marseille,2019,Big Five Euro,Marseille,1.68,0.13,13.7,10.8,9.21
2019-Big Five Euro-Metz,2019,Big Five Euro,Metz,1.42,0.13,14.1,10.9,9.08
2019-Big Five Euro-Milan,2019,Big Five Euro,Milan,2.11,0.16,12.7,8.55,8.95
2019-Big Five Euro-Monaco,2019,Big Five Euro,Monaco,1.79,0.11,13.2,10.3,10
2019-Big Five Euro-Montpellier,2019,Big Five Euro,Montpellier,2.03,0.05,11.7,11.9,9.82
2019-Big Five Euro-Nantes,2019,Big Five Euro,Nantes,1.92,0.05,12.6,12.6,8.89
2019-Big Five Euro-Napoli,2019,Big Five Euro,Napoli,2.21,0,9.29,12.5,11.8
2019-Big Five Euro-Newcastle Utd,2019,Big Five Euro,Newcastle Utd,1.63,0,11.7,12.4,11.2
2019-Big Five Euro-Nice,2019,Big Five Euro,Nice,1.84,0.11,11.4,11.7,10.7
2019-Big Five Euro-Paris S-G,2019,Big Five Euro,Paris S-G,2.03,0.08,11.1,14.4,9.76
2019-Big Five Euro-RB Leipzig,2019,Big Five Euro,RB Leipzig,1.97,0.12,13.5,10.6,13.5
2019-Big Five Euro-Real Madrid,2019,Big Five Euro,Real Madrid,2.55,0.08,12.2,13.6,9.39
2019-Big Five Euro-Real Sociedad,2019,Big Five Euro,Real Sociedad,2.47,0.03,11.7,10.5,11
2019-Big Five Euro-Rennes,2019,Big Five Euro,Rennes,2.74,0.18,12.7,11.9,9.26
2019-Big Five Euro-Roma,2019,Big Five Euro,Roma,1.87,0.13,11,8.61,11.7
2019-Big Five Euro-Saint-Étienne,2019,Big Five Euro,Saint-Étienne,1.79,0.11,13.1,12.6,10
2019-Big Five Euro-Sampdoria,2019,Big Five Euro,Sampdoria,2.42,0.11,11.4,8.66,12.4
2019-Big Five Euro-Sassuolo,2019,Big Five Euro,Sassuolo,1.97,0.11,13.4,7,11.5
2019-Big Five Euro-Schalke 04,2019,Big Five Euro,Schalke 04,1.91,0.15,16.7,7.35,12.2
2019-Big Five Euro-Sevilla,2019,Big Five Euro,Sevilla,2.11,0.08,16.2,13.9,10.5
2019-Big Five Euro-Southampton,2019,Big Five Euro,Southampton,1.34,0.05,12.4,14.5,9.26
2019-Big Five Euro-SPAL,2019,Big Five Euro,SPAL,2,0.11,12.8,5.47,10.3
2019-Big Five Euro-Stoke City,2019,Big Five Euro,Stoke City,1.29,0,13.1,13,10.1
2019-Big Five Euro-Strasbourg,2019,Big Five Euro,Strasbourg,2.11,0.11,14,9.61,7.84
2019-Big Five Euro-Stuttgart,2019,Big Five Euro,Stuttgart,1.35,0.06,13.9,8.38,10.4
2019-Big Five Euro-Swansea City,2019,Big Five Euro,Swansea City,1.79,0,11,12.2,11.5
2019-Big Five Euro-Torino,2019,Big Five Euro,Torino,1.89,0.13,15.4,7.13,12.2
2019-Big Five Euro-Tottenham,2019,Big Five Euro,Tottenham,1.97,0.03,10.9,16.1,13
2019-Big Five Euro-Toulouse,2019,Big Five Euro,Toulouse,2.03,0.24,15.1,11,9.58
2019-Big Five Euro-Troyes,2019,Big Five Euro,Troyes,1.34,0.13,13.2,10.7,9.03
2019-Big Five Euro-Udinese,2019,Big Five Euro,Udinese,1.55,0.13,14.4,6.68,10.8
2019-Big Five Euro-Valencia,2019,Big Five Euro,Valencia,2.55,0.13,14.3,13.2,11.8
2019-Big Five Euro-Villarreal,2019,Big Five Euro,Villarreal,2.18,0.11,17,13.4,9.21
2019-Big Five Euro-Watford,2019,Big Five Euro,Watford,1.71,0.08,12.9,13.3,11.4
2019-Big Five Euro-Werder Bremen,2019,Big Five Euro,Werder Bremen,1.38,0.03,16.5,8.59,11.1
2019-Big Five Euro-West Brom,2019,Big Five Euro,West Brom,1.47,0.03,13.7,10.1,11.6
2019-Big Five Euro-West Ham,2019,Big Five Euro,West Ham,1.45,0.03,11.1,11.4,11
2019-Big Five Euro-Wolfsburg,2019,Big Five Euro,Wolfsburg,1.71,0.06,13.5,7.21,10.5
