Date,HomeTeamName,AwayTeamName,HomeTeamGoals,AwayTeamGoals,Stage,SpecialWinConditions,Stadium,City,Attendance,Year
1960-07-06,France , Yugoslavia,4,5,Semi-finals,,Parc des Princes, Paris,26370,1960
1960-07-06,Czechoslovakia , Soviet Union,0,3,Semi-finals,,Stade Vélodrome, Marseille,25184,1960
1960-07-09,Czechoslovakia , France,2,0,Third place play-off,,Stade Vélodrome, Marseille,9438,1960
1960-07-10,Soviet Union , Yugoslavia,2,1,Final,Soviet Union  win after extra time ,Parc des Princes, Paris,17966,1960
1964-06-17,Spain , Hungary,2,1,Semi-finals,Spain  win after extra time ,Santiago Bernabéu, Madrid,34713,1964
1964-06-17,Denmark , Soviet Union,0,3,Semi-finals,,Camp Nou, Barcelona,38556,1964
1964-06-20,Hungary , Denmark,3,1,Third place play-off,Hungary  win after extra time ,Camp Nou, Barcelona,3869,1964
1964-06-21,Spain , Soviet Union,2,1,Final,,Santiago Bernabéu, Madrid,79115,1964
1968-06-05,Italy , Soviet Union,0,0,Semi-finals, Soviet Union win after extra time ,Stadio San Paolo, Naples,68582,1968
1968-06-05,Yugoslavia , England,1,0,Semi-finals,,Stadio Comunale, Florence,21834,1968
1968-06-08,England , Soviet Union,2,0,Third place play-off,,Stadio Olimpico, Rome,68817,1968
1968-06-08,Italy , Yugoslavia,1,1,Final, Yugoslavia win after extra time ,Stadio Olimpico, Rome,68817,1968
1968-06-10,Italy , Yugoslavia,2,0,Final,,Stadio Olimpico, Rome,32886,1968
1972-06-14,Hungary , Soviet Union,0,1,Semi-finals,,Stade Émile Versé, Brussels,1659,1972
1972-06-14,Belgium , West Germany,1,2,Semi-finals,,Bosuilstadion, Antwerp,55669,1972
1972-06-17,Hungary , Belgium,1,2,Third place play-off,,Stade Maurice Dufrasne, Liège,6184,1972
1972-06-18,West Germany , Soviet Union,3,0,Final,,Heysel Stadium, Brussels,43066,1972
1976-06-16,Czechoslovakia , Netherlands,3,1,Semi-finals,Czechoslovakia  win after extra time ,Stadion Maksimir, Zagreb,17879,1976
1976-06-17,Yugoslavia , West Germany,2,4,Semi-finals, West Germany win after extra time ,Red Star Stadium, Belgrade,50652,1976
1976-06-19,Netherlands , Yugoslavia,3,2,Third place play-off,Netherlands  win after extra time ,Stadion Maksimir, Zagreb,6766,1976
1976-06-20,Czechoslovakia , West Germany,2,2,Final,Czechoslovakia  win on Penalities 5–3,Red Star Stadium, Belgrade,30790,1976
1980-06-11,Czechoslovakia , West Germany,0,1,Group 1,,Stadio Olimpico, Rome,10500,1980
1980-06-11,Netherlands , Greece,1,0,Group 1,,Stadio San Paolo, Naples,14990,1980
1980-06-14,West Germany , Netherlands,3,2,Group 1,,Stadio San Paolo, Naples,29889,1980
1980-06-14,Greece , Czechoslovakia,1,3,Group 1,,Stadio Olimpico, Rome,7614,1980
1980-06-17,Netherlands , Czechoslovakia,1,1,Group 1,,San Siro, Milan,11889,1980
1980-06-17,Greece , West Germany,0,0,Group 1,,Stadio Comunale, Turin,13901,1980
1980-06-12,Belgium , England,1,1,Group 2,,Stadio Comunale, Turin,15186,1980
1980-06-12,Spain , Italy,0,0,Group 2,,San Siro, Milan,46337,1980
1980-06-15,Belgium , Spain,2,1,Group 2,,San Siro, Milan,11430,1980
1980-06-15,England , Italy,0,1,Group 2,,Stadio Comunale, Turin,59649,1980
1980-06-18,Spain , England,1,2,Group 2,,Stadio San Paolo, Naples,14440,1980
1980-06-18,Italy , Belgium,0,0,Group 2,,Stadio Olimpico, Rome,42318,1980
1980-06-21,Czechoslovakia , Italy,1,1,Third place play-off,,Stadio San Paolo, Naples,24652,1980
1980-06-22,Belgium , West Germany,1,2,Final,,Stadio Olimpico, Rome,47860,1980
1984-06-12,France , Denmark,1,0,Group 1,,Parc des Princes, Paris,47570,1984
1984-06-13,Belgium , Yugoslavia,2,0,Group 1,,Stade Félix-Bollaert, Lens,41525,1984
1984-06-16,France , Belgium,5,0,Group 1,,Stade de la Beaujoire, Nantes,51359,1984
1984-06-16,Denmark , Yugoslavia,5,0,Group 1,,Stade de Gerland, Lyon,34736,1984
1984-06-19,France , Yugoslavia,3,2,Group 1,,Stade Geoffroy-Guichard, Saint-Étienne,47510,1984
1984-06-19,Denmark , Belgium,3,2,Group 1,,Stade de la Meinau, Strasbourg,36911,1984
1984-06-14,West Germany , Portugal,0,0,Group 2,,Stade de la Meinau, Strasbourg,44707,1984
1984-06-14,Romania , Spain,1,1,Group 2,,Stade Geoffroy-Guichard, Saint-Étienne,16972,1984
1984-06-17,West Germany , Romania,2,1,Group 2,,Stade Félix-Bollaert, Lens,31787,1984
1984-06-17,Portugal , Spain,1,1,Group 2,,Stade Vélodrome, Marseille,24364,1984
1984-06-20,West Germany , Spain,0,1,Group 2,,Parc des Princes, Paris,47691,1984
1984-06-20,Portugal , Romania,1,0,Group 2,,Stade de la Beaujoire, Nantes,24464,1984
1984-06-23,France , Portugal,3,2,Semi-finals,France  win after extra time ,Stade Vélodrome, Marseille,54848,1984
1984-06-24,Denmark , Spain,1,1,Semi-finals, Spain win on Penalities 4–5,Stade de Gerland, Lyon,47843,1984
1984-06-27,France , Spain,2,0,Final,,Parc des Princes, Paris,47368,1984
1988-06-10,West Germany , Italy,1,1,Group 1,,Rheinstadion, Düsseldorf,62552,1988
1988-06-11,Denmark , Spain,2,3,Group 1,,Niedersachsenstadion, Hanover,55707,1988
1988-06-14,West Germany , Denmark,2,0,Group 1,,Parkstadion, Gelsenkirchen,64812,1988
1988-06-14,Italy , Spain,1,0,Group 1,,Waldstadion, Frankfurt,47506,1988
1988-06-17,West Germany , Spain,2,0,Group 1,,Olympiastadion, Munich,63802,1988
1988-06-17,Italy , Denmark,2,0,Group 1,,Müngersdorfer Stadion, Cologne,53951,1988
1988-06-12,England , Republic of Ireland,0,1,Group 2,,Neckarstadion, Stuttgart,51373,1988
1988-06-12,Netherlands , Soviet Union,0,1,Group 2,,Müngersdorfer Stadion, Cologne,54336,1988
1988-06-15,England , Netherlands,1,3,Group 2,,Rheinstadion, Düsseldorf,63940,1988
1988-06-15,Republic of Ireland , Soviet Union,1,1,Group 2,,Niedersachsenstadion, Hanover,38308,1988
1988-06-18,England , Soviet Union,1,3,Group 2,,Waldstadion, Frankfurt,48335,1988
1988-06-18,Republic of Ireland , Netherlands,0,1,Group 2,,Parkstadion, Gelsenkirchen,64731,1988
1988-06-21,West Germany , Netherlands,1,2,Semi-finals,,Volksparkstadion, Hamburg,56115,1988
1988-06-22,Soviet Union , Italy,2,0,Semi-finals,,Neckarstadion, Stuttgart,61606,1988
1988-06-25,Soviet Union , Netherlands,0,2,Final,,Olympiastadion, Munich,62770,1988
1992-06-10,Sweden , France,1,1,Group 1,,Råsunda Stadium, Solna,29860,1992
1992-06-11,Denmark , England,0,0,Group 1,,Malmö Stadion, Malmö,26385,1992
1992-06-14,France , England,0,0,Group 1,,Malmö Stadion, Malmö,26535,1992
1992-06-14,Sweden , Denmark,1,0,Group 1,,Råsunda Stadium, Solna,29902,1992
1992-06-17,Sweden , England,2,1,Group 1,,Råsunda Stadium, Solna,30126,1992
1992-06-17,France , Denmark,1,2,Group 1,,Malmö Stadion, Malmö,25763,1992
1992-06-12,Netherlands , Scotland,1,0,Group 2,,Ullevi, Gothenburg,35720,1992
1992-06-12,CIS , Germany,1,1,Group 2,,Idrottsparken, Norrköping,17410,1992
1992-06-15,Scotland , Germany,0,2,Group 2,,Idrottsparken, Norrköping,17638,1992
1992-06-15,Netherlands , CIS,0,0,Group 2,,Ullevi, Gothenburg,34440,1992
1992-06-18,Netherlands , Germany,3,1,Group 2,,Ullevi, Gothenburg,37725,1992
1992-06-18,Scotland , CIS,3,0,Group 2,,Idrottsparken, Norrköping,14660,1992
1992-06-21,Sweden , Germany,2,3,Semi-finals,,Råsunda Stadium, Solna,28827,1992
1992-06-22,Netherlands , Denmark,2,2,Semi-finals, Denmark win on Penalities 4–5,Ullevi, Gothenburg,37450,1992
1992-06-26,Denmark , Germany,2,0,Final,,Ullevi, Gothenburg,37800,1992
1996-06-08,England ,  Switzerland,1,1,Group A,,Wembley Stadium, London,76567,1996
1996-06-10,Netherlands , Scotland,0,0,Group A,,Villa Park, Birmingham,34363,1996
1996-06-13,Switzerland  , Netherlands,0,2,Group A,,Villa Park, Birmingham,36800,1996
1996-06-15,Scotland , England,0,2,Group A,,Wembley Stadium, London,76864,1996
1996-06-18,Scotland ,  Switzerland,1,0,Group A,,Villa Park, Birmingham,34926,1996
1996-06-18,Netherlands , England,1,4,Group A,,Wembley Stadium, London,76798,1996
1996-06-09,Spain , Bulgaria,1,1,Group B,,Elland Road, Leeds,24006,1996
1996-06-10,Romania , France,0,1,Group B,,St James' Park, Newcastle,26323,1996
1996-06-13,Bulgaria , Romania,1,0,Group B,,St James' Park, Newcastle,19107,1996
1996-06-15,France , Spain,1,1,Group B,,Elland Road, Leeds,35626,1996
1996-06-18,France , Bulgaria,3,1,Group B,,St James' Park, Newcastle,26976,1996
1996-06-18,Romania , Spain,1,2,Group B,,Elland Road, Leeds,32719,1996
1996-06-09,Germany , Czech Republic,2,0,Group C,,Old Trafford, Manchester,37300,1996
1996-06-11,Italy , Russia,2,1,Group C,,Anfield, Liverpool,35120,1996
1996-06-14,Czech Republic , Italy,2,1,Group C,,Anfield, Liverpool,37320,1996
1996-06-16,Russia , Germany,0,3,Group C,,Old Trafford, Manchester,50760,1996
1996-06-19,Russia , Czech Republic,3,3,Group C,,Anfield, Liverpool,21128,1996
1996-06-19,Italy , Germany,0,0,Group C,,Old Trafford, Manchester,53740,1996
1996-06-09,Denmark , Portugal,1,1,Group D,,Hillsborough, Sheffield,34993,1996
1996-06-11,Turkey , Croatia,0,1,Group D,,City Ground, Nottingham,22460,1996
1996-06-14,Portugal , Turkey,1,0,Group D,,City Ground, Nottingham,22670,1996
1996-06-16,Croatia , Denmark,3,0,Group D,,Hillsborough, Sheffield,33671,1996
1996-06-19,Croatia , Portugal,0,3,Group D,,City Ground, Nottingham,20484,1996
1996-06-19,Turkey , Denmark,0,3,Group D,,Hillsborough, Sheffield,28951,1996
1996-06-22,Spain , England,0,0,Quarter-finals, England win on Penalities 2–4,Wembley Stadium, London,75440,1996
1996-06-22,France , Netherlands,0,0,Quarter-finals,France  win on Penalities 5–4,Anfield, Liverpool,37465,1996
1996-06-23,Germany , Croatia,2,1,Quarter-finals,,Old Trafford, Manchester,43412,1996
1996-06-23,Czech Republic , Portugal,1,0,Quarter-finals,,Villa Park, Birmingham,26832,1996
1996-06-26,France , Czech Republic,0,0,Semi-finals, Czech Republic win on Penalities 5–6,Old Trafford, Manchester,43877,1996
1996-06-26,Germany , England,1,1,Semi-finals,Germany  win on Penalities 6–5,Wembley Stadium, London,75862,1996
1996-06-30,Czech Republic , Germany,1,2,Final, Germany win after extra time ,Wembley Stadium, London,73611,1996
2000-06-12,Germany , Romania,1,1,Group A,,Stade Maurice Dufrasne, Liège,28500,2000
2000-06-12,Portugal , England,3,2,Group A,,Philips Stadion, Eindhoven,31500,2000
2000-06-17,Romania , Portugal,0,1,Group A,,GelreDome, Arnhem,28400,2000
2000-06-17,England , Germany,1,0,Group A,,Stade du Pays de Charleroi, Charleroi,29000,2000
2000-06-20,England , Romania,2,3,Group A,,Stade du Pays de Charleroi, Charleroi,30000,2000
2000-06-20,Portugal , Germany,3,0,Group A,,Feijenoord Stadion, Rotterdam,44000,2000
2000-06-10,Belgium , Sweden,2,1,Group B,,King Baudouin Stadium, Brussels,46700,2000
2000-06-11,Turkey , Italy,1,2,Group B,,GelreDome, Arnhem,22500,2000
2000-06-14,Italy , Belgium,2,0,Group B,,King Baudouin Stadium, Brussels,44500,2000
2000-06-15,Sweden , Turkey,0,0,Group B,,Philips Stadion, Eindhoven,27000,2000
2000-06-19,Turkey , Belgium,2,0,Group B,,King Baudouin Stadium, Brussels,48000,2000
2000-06-19,Italy , Sweden,2,1,Group B,,Philips Stadion, Eindhoven,30000,2000
2000-06-13,Spain , Norway,0,1,Group C,,Feijenoord Stadion, Rotterdam,41000,2000
2000-06-13,FR Yugoslavia , Slovenia,3,3,Group C,,Stade du Pays de Charleroi, Charleroi,18500,2000
2000-06-18,Slovenia , Spain,1,2,Group C,,Amsterdam Arena, Amsterdam,51300,2000
2000-06-18,Norway , FR Yugoslavia,0,1,Group C,,Stade Maurice Dufrasne, Liège,28750,2000
2000-06-21,FR Yugoslavia , Spain,3,4,Group C,,Jan Breydel Stadium, Bruges,26611,2000
2000-06-21,Slovenia , Norway,0,0,Group C,,GelreDome, Arnhem,21000,2000
2000-06-11,France , Denmark,3,0,Group D,,Jan Breydel Stadium, Bruges,28100,2000
2000-06-11,Netherlands , Czech Republic,1,0,Group D,,Amsterdam Arena, Amsterdam,50800,2000
2000-06-16,Czech Republic , France,1,2,Group D,,Jan Breydel Stadium, Bruges,27243,2000
2000-06-16,Denmark , Netherlands,0,3,Group D,,Feijenoord Stadion, Rotterdam,51425,2000
2000-06-21,Denmark , Czech Republic,0,2,Group D,,Stade Maurice Dufrasne, Liège,20000,2000
2000-06-21,France , Netherlands,2,3,Group D,,Amsterdam Arena, Amsterdam,50000,2000
2000-06-24,Turkey , Portugal,0,2,Quarter-finals,,Amsterdam Arena, Amsterdam,42000,2000
2000-06-24,Italy , Romania,2,0,Quarter-finals,,King Baudouin Stadium, Brussels,41000,2000
2000-06-25,Netherlands , FR Yugoslavia,6,1,Quarter-finals,,Feijenoord Stadion, Rotterdam,44000,2000
2000-06-25,Spain , France,1,2,Quarter-finals,,Jan Breydel Stadium, Bruges,26614,2000
2000-06-28,France , Portugal,2,1,Semi-finals,France  win after extra time ,King Baudouin Stadium, Brussels,48000,2000
2000-06-29,Italy , Netherlands,0,0,Semi-finals,Italy  win on Penalities 3–1,Amsterdam Arena, Amsterdam,50000,2000
2000-07-02,France , Italy,2,1,Final,France  win after extra time ,De Kuip, Rotterdam,48200,2000
